EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP6,Light,Control,6-CON-D4-3,4,2.925843944,0.026694169,0.078102974,416.6705597,0.039625969,16.51097453,2028.631136,2233.87,66.51272127,35.33072172,1.93,nan
EXP6,Light,CaO,6-CaO-D0-1,0,6.225328166,0.011783309,0.073354968,251.2886231,0.039625969,9.9575551,2062.042019,3174.53,68.45224691,29.58673344,0.48,261.134
EXP6,Light,CaO,6-CaO-D0-2,0,5.069762709,0.011783309,0.059738583,176.4155481,0.039625969,6.990636978,2046.92285,3163.38,63.78893223,27.58335684,0.45,271.404
EXP6,Light,CaO,6-CaO-D0-3,0,5.638866073,0.026694169,0.150524846,177.162777,0.039625969,7.020246647,2049.293296,3151.97,65.59226842,28.64604872,0.52,255.266
EXP6,Light,CaO,6-CaO-D4-4,2,5.48753821,0.026694169,0.146485274,257.2031327,0.039625969,10.19192327,2039.582681,3136.14,66.74283448,35.47484248,1.7,269.937
EXP6,Light,CaO,6-CaO-D2-2,2,5.869856807,0.011783309,0.069166339,264.4099702,0.039625969,10.47750119,2043.883306,3119.47,63.60108471,33.71476621,0.74,220.057
EXP6,Light,CaO,6-CaO-D2-3,2,5.783942318,0.011783309,0.068153982,372.5400343,0.039625969,14.76225972,2045.008371,3126.02,67.09974477,29.12325043,0.91,218.59
EXP6,Light,CaO,6-CaO-D4-1,4,4.940730766,0.011783309,0.058218159,282.7084408,0.039625969,11.20259581,2038.005192,3143.03,62.61253714,27.07558653,1.02,247.931
EXP6,Light,CaO,6-CaO-D4-2,4,3.478695728,0.011783309,0.040990548,259.8697249,0.039625969,10.29758957,2059.95552,3150.88,63.54238236,27.50081807,1.95,275.805
EXP6,Light,CaO,6-CaO-D4-3,4,5.446934808,0.026694169,0.1454014,276.0068231,0.039625969,10.93703772,2045.878788,3153.01,64.75399887,27.99920396,1.36,253.799
EXP7,Light,Control,7-CON-D0-1,0,109.4686382,0.031258814,3.421859761,173.1562052,0.026542762,4.596043977,2120.983774,2230.95,30.28632709,13.12720523,0.09,297.811
EXP7,Light,Control,7-CON-D0-2,0,143.8871057,0.031258814,4.497740222,218.2918434,0.026542762,5.794068488,2129.531945,NA,27.9758026,15.00836601,0.08,nan
EXP7,Light,Control,7-CON-D0-3,0,46.65171417,0.031258814,1.458277239,122.1311689,0.026542762,3.241698572,2122.386699,2228.88,29.12402057,12.59708226,0.12,294.876
